id,ad_type,start_date,end_date,created_on,lat,lon,l1,l2,l3,rooms,bedrooms,bathrooms,surface_total,surface_covered,price,currency,price_period,title,description,property_type,operation_type,title_clean,price_usd
/ediqs3Ip1OcJ1Eh7dPd4w==,Propiedad,2020-12-08,2021-02-23,2020-12-08,-34.902546,-56.1616311,Uruguay,Montevideo,Parque Batlle,2.843151171043293,2.0,2.0,65.0,56.0,160000.0,USD,Mensual,"Vendo apartamento de 2 dormitorios y 2 baños, sin garaje, patio exclusivo, barbacoa, Parque Batlle","Living comedor al frente, cocina definida con terraza lavadero con salida a patio, 2 dormitorios, 2 baños (uno de ellos completo y el otro de buen tamaño con posibilidad de agregar ducha).<br><br>Patio exclusivo de 20m2.<br><br>No tiene garaje, posibilidad de alquilar uno en el mismo edificio.<br><br>Cuenta con barbacoa de uso común, abierta y cerrada, en último piso.<br><br>Cámaras de seguridad y limpieza diaria.<br><br><br> <br><br>Afiliados a Cámara Inmobiliaria Uruguaya Nº933
<br>INMOBILIARIA GOLF 
<br>(00598) 27127373
<br>(00598) 99000005
<br>",Departamento,Venta,"vendo apartamento de 2 dormitorios y 2 banos, sin garaje, patio exclusivo, barbacoa, parque batlle",160000.0
04Mm6peQMFcd+WT82vXlQQ==,Propiedad,2020-12-08,2021-05-25,2020-12-08,-34.9068222046,-56.1421203613,Uruguay,Montevideo,Pocitos,1.0,4.833333333333333,1.0,35.0,25.0,100000.0,USD,Mensual,"Vendo local comercial de 25m2 con patio exclusivo, renta de $20.000 con garantía, Pocitos","Ubicado a una cuadra de 26 de marzo.<br><br>Local comercial de 25m2 con acceso independiente.<br><br>Ambiente con un baño y patio de uso exclusivo.<br><br>Se vende con renta: $20.000.-<br><br>Contrato a 2 años con opción a otro año más. Garantía: PortoSeguro.<br><br>El precio incluye los gastos de ocupación (4%).<br><br><br>Afiliados a Cámara Inmobiliaria Uruguaya Nº933
<br>INMOBILIARIA GOLF 
<br>(00598) 27127373
<br>(00598) 99000005
<br>",Local comercial,Venta,"vendo local comercial de 25m2 con patio exclusivo, renta de $20.000 con garantia, pocitos",100000.0
i1B82Wxje/B/bom0S4474A==,Propiedad,2020-12-08,2021-05-25,2020-12-08,-34.9068222046,-56.1421203613,Uruguay,Montevideo,Pocitos,1.0,4.833333333333333,1.0,35.0,25.0,100000.0,USD,Mensual,"Vendo local comercial de 25m2 con patio exclusivo, renta de $20.000 con garantía, Pocitos","Ubicado a una cuadra de 26 de marzo.<br><br>Local comercial de 25m2 con acceso independiente.<br><br>Ambiente con un baño y patio de uso exclusivo.<br><br>Se vende con renta: $20.000.-<br><br>Contrato a 2 años con opción a otro año más. Garantía: PortoSeguro.<br><br>El precio ya incluye los gastos de ocupación (4%).<br><br><br>Afiliados a Cámara Inmobiliaria Uruguaya Nº933
<br>INMOBILIARIA GOLF 
<br>(00598) 27127373
<br>(00598) 99000005
<br>",Local comercial,Venta,"vendo local comercial de 25m2 con patio exclusivo, renta de $20.000 con garantia, pocitos",100000.0
TNayLXBJh0CFA1pP9LLm7A==,Propiedad,2020-12-08,2020-12-08,2020-12-08,-34.9107608,-56.200407,Uruguay,Montevideo,Centro,2.0,1.0,1.0,48.31229668184776,44.530496492858184,130000.0,USD,Mensual,Departamento - Centro (Montevideo)- Rambla - un dormitorio - vista al mar- luminoso -,"Precioso y moderno apartamento sobre la Rambla de Montevideo<br>un dormitorio - diseño minimalista -<br>Se entrega equipado con anafe, extractor, calefón, muebles sobre y bajo mesada, placard en comitorio, dos aires <br>acondicionados uno en el living comedor y otro en el domitorio.<br><br>Dos barbacoas cerradas en el último piso y completamente equipadas.<br>Piscina exterior en el último piso<br>Laundry<br>Guarda bicicletas<br>Salón de reuniones.<br><br>Gastos comunes  : $ 2.800<br>El apto está con renta - contrato a dos años por $21.500 - iniciando en sept 2020.<br><br>Acepta permuta por apartamento en Punta del Este.<br><br><br><br><br>Al momento de conversar con un asesor de ventas proporcionale el siguiente código de referencia: PAP3427719",Departamento,Venta,departamento - centro (montevideo)- rambla - un dormitorio - vista al mar- luminoso -,130000.0
lKvHkW5c3YibXA649uLzKg==,Propiedad,2020-12-08,9999-12-31,2020-12-08,-34.9107608,-56.200407,Uruguay,Montevideo,sin info,2.0,1.0,1.0,33.0,33.0,130000.0,USD,Mensual,Departamento - Rambla - un dormitorio - vista al mar- luminoso -piscina - parrillero - barbacoa -,"Precioso y moderno apartamento sobre la Rambla de Montevideo<br>un dormitorio - diseño minimalista -<br>Se entrega equipado con anafe, extractor, calefón, muebles sobre y bajo mesada, placard en dormitorio, dos aires <br>acondicionados uno en el living comedor y otro en el dormitorio.<br><br>Dos barbacoas cerradas en el último piso y completamente equipadas.<br>Piscina exterior con vista al infinito en el último piso<br>Laundry<br>Gimnasio<br>Guarda bicicletas<br>Salón de reuniones.<br><br>Gastos comunes  : $ 2.800<br>El apto está con renta - contrato a dos años por $21.500 - iniciando en sept 2020.<br><br>Acepta permuta por apartamento en Punta del Este.<br><br><br><br><br>Al momento de conversar con un asesor de ventas proporcionale el siguiente código de referencia: PAP3427719",Departamento,Venta,departamento - rambla - un dormitorio - vista al mar- luminoso -piscina - parrillero - barbacoa -,130000.0
HpkZP4lu5+YNdIUjh2YDWA==,Propiedad,2020-12-08,9999-12-31,2020-12-08,-34.9024565,-56.1972303,Uruguay,Montevideo,Centro,2.0,4.833333333333333,1.0,141.0,141.0,120000.0,USD,Mensual,Local de dos plantas | En importante esquina |  Centro,"¡Amplio local de dos plantas en importante esquina!<br><br>COMODIDADES:<br>Cuenta con 65 m2 en planta baja con amplios ventanales, rejas corredizas y doble puerta de acceso por calle Paysandú.<br>Subsuelo de 76 m2 con banderolas hacia la calle, baño, cocina y depósito.<br>Todo al frente hacia Paysandú y Convención.<br>Elegante escalera en madera, terminaciones de época bien conservadas.<br>Muy buen estado general. Eléctrica a nueva.<br>Solida construcción!<br><br>UBICACIÓN:<br>Estratégicamente ubicado, a 4 cuadras de 18 de Julio, 2 de la ciudad vieja y a metros de la rambla.<br>Muy buena oferta comercial en la zona con gran accesibilidad y locomoción.<br><br>PRECIO:<br>• Venta USD 120.000<br><br>Contamos con una gran trayectoria en bienes raíces en Colonia y Montevideo.<br>",Local comercial,Venta,local de dos plantas | en importante esquina |  centro,120000.0
pg4asdRAlJ4tWlvCPS3gEw==,Propiedad,2020-12-08,9999-12-31,2020-12-08,-34.87762,-56.1524595,Uruguay,Montevideo,sin info,3.0,2.0,1.0,50.0,45.0,99000.0,USD,Mensual,"OPORTUNIDAD 2 dormitorios, terraza lavadero, barbacoa, seguridad.","OPORTUNIDAD AMOBLADO!!! LA BLANQUEADA  5to piso con balcón.<br><br>Apartamento de dos dormitorios, cocina integrada, terraza lavadero con balcón, baño con ventilación natural. <br>El piso se ubica en un 5to nivel a un frente lateral, espacios bien distribuidos y funcionales, con muy buena ventilación y luz natural.  <br>Se vende amoblado, excepto los sillones del estar. <br><br>El complejo se ubica en un predio que conecta tres estructuradores viales importantes de la ciudad, Bvar. José Batlle y Ordoñez, Av. Dámaso A. Larrañaga y Av. 8 de Octubre. <br>Cuenta con una amplia barbacoa con parrillero de uso común, cercado eléctrico perimetral, limpieza de espacios comunes, mantenimiento del parque y otras áreas. <br><br>GASTOS BAJOS! <br><br>CONTRIBUCIÓN ANUAL: $ 3.774<br>TRUBUTOS DOMICILIARIOS: $ 4.634 - $ 930 c/2meses - <br>PRIMARIA: $ 1.290<br><br><br><br>Al momento de conversar con un asesor de ventas proporcionale el siguiente código de referencia: PAP3334111",Departamento,Venta,"oportunidad 2 dormitorios, terraza lavadero, barbacoa, seguridad.",99000.0
yBD3uqyTKTAtM76IlUaGpA==,Propiedad,2020-12-08,9999-12-31,2020-12-08,-34.8988017,-56.190618,Uruguay,Montevideo,Aguada,4.0,2.0,2.0,99.0,89.0,220000.0,USD,Mensual,Departamento - Aguada - piso 9 - luminoso - vista despejada -vista al puerto - dos dormitorios - dos baños - suite,"Estupendo apartamento - piso 9 sobre Avda Libertador Brig. Gral. Lavalleja - vistas despejadas hacia el Oeste - puerto de Montevideo - Cerro de Montevideo - Estación Central, de la terraza de los dormitorios vista al Sur - centro de Montevideo.<br><br>Doble entrada - principal y de servicio.<br>Dimensiones y alturas estupendas - pisos de lapacho plastificado en todo el apartamento , gran living de 5 por 7,70 mts-.<br>Dos dormitorios y dos baños - uno en suite - todos a nuevo -<br>Dormitorio en suite con vestier.<br>Grandes espacios de almacenamiento.<br>Iluminado - despejado - con balcón amplio que comunica ambos dormitorios.<br>Toda la sanitaria nueva, toda la eléctrica nueva con llave de seguridad para niños.<br><br>Quedan tres aires acondicionados - nuevos -tipo inverter. Todos los rollers y las cortinas verticales así como los placards. Campana extractora de gran porte recién instalada.<br>Cocina definida con office.<br>Dos apartamentos por piso.<br>Estacionamiento en pb en explanada del mismo edificio con portones eléctricos - un sólo vehículo, no es fijo pero está garantizado el estacionamiento.<br><br> Acepta permuta por casa de dos dormitorios - dos baños con fondo y áreas verdes.<br><br><br>Al momento de conversar con un asesor de ventas proporcionale el siguiente código de referencia: PAP3427555",Departamento,Venta,departamento - aguada - piso 9 - luminoso - vista despejada -vista al puerto - dos dormitorios - dos banos - suite,220000.0
roisGXfqNufWE3Ym6zY7Rg==,Propiedad,2020-12-08,9999-12-31,2020-12-08,-34.902381,-56.197311,Uruguay,Montevideo,Centro,4.0,3.0,2.0,52.02862719583605,83.0,140000.0,USD,Mensual,Apartamento - Centro (Montevideo),"¡Amplio apartamento con gran terraza esquinera!<br><br>COMODIDADES:<br>Cuenta con 91 m2 totales distribuidos en amplios ambientes con doble orientación al frente, proporcionando luminosidad y ventilación.<br>Living comedor de muy buen tamaño con gran ventanal y salida a cómoda terraza con vista a la ciudad y puerto. Aire acondicionado instalado.<br>Cocina a nueva, con comedor diario y lavadero. Opción de segundo baño.<br>Baño de buen tamaño a nuevo. 3 Dormitorios amplios, todos con persianas de enrollar, principal con aire acondicionado.<br>Pisos de parquet en excelente estado, paredes recien pintadas.<br>Muy bien conservado y con eléctrica a nueva. Solida construcción!<br><br>+ INFO:<br>Elegante edificio, al cual se le estará restaurando su fachada próximamente.<br>Estratégicamente ubicado, a 4 cuadras de 18 de Julio, 2 de la ciudad vieja y a metros de la rambla.<br>Muy buena oferta comercial en la zona con gran accesibilidad y locomoción.<br><br>PRECIO:<br>• Venta USD 140.000<br>• Gastos comunes bajos $ 4.000<br><br>Contamos con una gran trayectoria en bienes raíces en Colonia y Montevideo.<br>",Departamento,Venta,apartamento - centro (montevideo),140000.0
1a01egLUsbWUvxO1gc7xZQ==,Propiedad,2021-01-30,2021-06-05,2021-01-30,-34.8774483,-56.0382713,Uruguay,Montevideo,Carrasco,4.0,3.0,4.0,245.0,155.0,495000.0,USD,Mensual,"Apartamento de 3 dormitorios y servicio con patio , en Carrasco, garaje x 2","Excelente oportunidad e inversion con renta asegurada. 5%<br>Apartamento con todas las comodidades de una casa. Ubicado en Carrasco sur con muy buenos accesos. <br>Living comedor amplio y luminoso con estufa a leña, salida a balcón con parrillero que a su vez se comunica a jardín de uso exclusivo. Baño social. <br>Cocina con entrada de servicio y salida a gran patio en donde están las instalaciones para lavarropas. <br>Servicio Completo. <br>Área intima: 3 dormitorios  todos  en suite, principal con vestidor. Equipos de aire acondicionado en living comedor y dormitorios. Calefacción individual eléctrica<br>Vigilancia 14:00 a 22:00<br>Pisos de lapacho,v idrios dobles<br>Garage x 2 y box. Portería con horario<br>Ideal inversores!<br>Renta por 2 años + opción 1 año mas, comenzando Julio 2019<br><br>Honorarios por intermediación: <br>3% + IVA para operaciones de compra. <br>Un mes de alquiler + IVA para operaciones de alquiler.<br><br>La información contenida en el presente documento ha sido proporcionada íntegramente por el/los propietarios del inmueble. Arquibrokers Coldwell Banker no se responsabiliza por las diferencias ni las modificaciones que puedan surgir a partir de este documento.<br>Coldwell Banker Arquibrokers <br>",Departamento,Venta,"apartamento de 3 dormitorios y servicio con patio , en carrasco, garaje x 2",495000.0
