id,start_date,end_date,lat,lon,rooms,bedrooms,bathrooms,surface_total,price,anio,mes,zona_lat,zona_lon,zona,mes_cont
/ediqs3Ip1OcJ1Eh7dPd4w==,2020-12-08,2021-02-23,-34.902546,-56.1616311,3.0,2.0,2.0,65.0,160000.0,2020,12,1,1,1_1,12
TNayLXBJh0CFA1pP9LLm7A==,2020-12-08,2020-12-08,-34.9107608,-56.200407,2.0,1.0,1.0,68.0,130000.0,2020,12,1,0,1_0,12
lKvHkW5c3YibXA649uLzKg==,2020-12-08,9999-12-31,-34.9107608,-56.200407,2.0,1.0,1.0,33.0,130000.0,2020,12,1,0,1_0,12
pg4asdRAlJ4tWlvCPS3gEw==,2020-12-08,9999-12-31,-34.87762,-56.1524595,3.0,2.0,1.0,50.0,99000.0,2020,12,2,1,2_1,12
yBD3uqyTKTAtM76IlUaGpA==,2020-12-08,9999-12-31,-34.8988017,-56.190618,4.0,2.0,2.0,99.0,220000.0,2020,12,1,0,1_0,12
roisGXfqNufWE3Ym6zY7Rg==,2020-12-08,9999-12-31,-34.902381,-56.197311,4.0,3.0,2.0,68.0,140000.0,2020,12,1,0,1_0,12
1a01egLUsbWUvxO1gc7xZQ==,2021-01-30,2021-06-05,-34.8774483,-56.0382713,4.0,3.0,4.0,245.0,495000.0,2021,1,2,5,2_5,13
oQRvMres60rMTUkykk88Lg==,2020-12-13,2021-01-08,-34.8974568,-56.1246325,3.0,3.0,1.0,61.0,118500.0,2020,12,1,2,1_2,12
ASLBQu/eu95Hrx63+PgBng==,2020-08-22,2020-09-04,-34.9016658,-56.1792324,2.0,1.0,1.0,48.0,82000.0,2020,8,1,1,1_1,8
mF3ER9cH7WhOGW3sE+70JQ==,2020-08-22,2020-09-04,-34.9149805,-56.1614063,2.0,1.0,1.0,45.0,175000.0,2020,8,0,1,0_1,8
QpRTANCeaCSkSFo2aC9yJQ==,2020-08-22,2020-09-02,-34.9068258,-56.1528199,3.0,2.0,1.0,62.0,190000.0,2020,8,1,1,1_1,8
a1p799DtO5ML1ZZyzTcxHA==,2020-08-22,2020-09-04,-34.9150727,-56.1518524,4.0,3.0,2.0,81.0,350000.0,2020,8,0,1,0_1,8
/NNZVhyhdr8gv3aFhdeQZQ==,2020-08-22,2020-09-04,-34.9185405,-56.1529044,3.0,3.0,4.0,68.0,410000.0,2020,8,0,1,0_1,8
gjrLHz82ijqkrUvpnK7bRw==,2020-12-07,9999-12-31,-34.8906933,-56.1256765,3.0,2.0,1.0,60.0,95000.0,2020,12,2,2,2_2,12
lVzUIDMW5FWrT+OBVEFhmA==,2020-12-07,9999-12-31,-34.8729215,-56.0540364,3.0,2.0,2.0,121.0,320000.0,2020,12,3,4,3_4,12
CvLoj2zFHaxc+A4BO7o6PA==,2020-12-07,9999-12-31,-34.906645,-56.1774271,3.0,2.0,1.0,53.0,143000.0,2020,12,1,1,1_1,12
NggBwgjDmrROgiOXbuV7yQ==,2020-12-07,2020-12-16,-34.9030958,-56.151893,3.0,2.0,1.0,46.0,110000.0,2020,12,1,1,1_1,12
7c08XtuELdHmUrD3jPW+3g==,2020-12-07,9999-12-31,-34.908548243,-56.1472337153,3.0,2.0,2.0,87.0,221000.0,2020,12,1,2,1_2,12
1OcXZchZdnPX/si1H4WStQ==,2020-12-07,2021-06-25,-34.90817,-56.1574222,3.0,2.0,2.0,104.0,258000.0,2020,12,1,1,1_1,12
ETrPxN1LNpHhZ45ODA+SHA==,2020-12-07,2021-02-17,-34.9091567862,-56.1359566423,4.0,3.0,2.0,131.0,380000.0,2020,12,1,2,1_2,12
ltyQof4SETnCjDSTk7Onpw==,2020-12-07,2021-02-03,-34.916614,-56.152004,5.0,3.0,2.0,129.0,368000.0,2020,12,0,1,0_1,12
RL6WeNWvYm/Vok+ToKVqUA==,2020-05-01,2021-04-16,-34.867759,-56.0306168,3.0,2.0,2.0,68.0,480000.0,2020,5,3,5,3_5,5
Ubf8hR9xZcGc0Eg1zUghWQ==,2020-05-01,2020-05-28,-34.9043171905,-56.1721249185,3.0,2.0,1.0,40.0,81000.0,2020,5,1,1,1_1,5
/wmlht2ykBa5abZQEzr3zg==,2020-05-01,9999-12-31,-34.8729215,-56.0540364,3.0,2.0,2.0,128.0,320000.0,2020,5,3,4,3_4,5
KFDUx0ezTS2gpJxTwiPHyg==,2020-05-01,9999-12-31,-34.8766587,-56.0546733,3.0,2.0,2.0,115.0,320000.0,2020,5,2,4,2_4,5
PIdq4NmA/2uKNpgyweydpA==,2020-06-21,2020-06-27,-34.9225944,-56.1523122,3.0,2.0,2.0,108.0,470000.0,2020,6,0,1,0_1,6
vTlkM1cC/j6CXEjkXpYb/w==,2020-11-28,2021-04-12,-34.9107523,-56.1931172,2.0,1.0,1.0,45.0,98000.0,2020,11,1,0,1_0,11
pYrkT0t053++nHFttzeOfw==,2020-06-15,9999-12-31,-34.873447,-56.1601226,3.0,2.0,1.0,56.0,137000.0,2020,6,2,1,2_1,6
EU35xB08ekje0xIw7IYLVw==,2020-06-15,2020-06-25,-34.9100080921,-56.1527697664,3.0,4.0,3.0,209.0,370000.0,2020,6,1,1,1_1,6
vf2fApo3Bo7CThewE6lDWw==,2020-06-15,2020-06-25,-34.9087262,-56.1549157,3.0,3.0,4.0,68.0,400000.0,2020,6,1,1,1_1,6
fgNMmj6InEmFzC2gd7CcZQ==,2020-06-15,2020-06-25,-34.9160235,-56.1543405,5.0,4.0,2.0,110.0,270000.0,2020,6,0,1,0_1,6
niCizPanD6NHirpA1N/Zag==,2021-03-14,2021-04-13,-34.9092016,-56.1462754,4.0,4.0,3.0,130.0,350000.0,2021,3,1,2,1_2,15
vtkms19/vjFGRxxp1sQAhg==,2021-01-02,2021-02-19,-34.8651985,-56.2082373,3.0,2.0,1.0,63.0,170000.0,2021,1,3,0,3_0,13
IeGohgdsAHnwvGzDHkZzrg==,2021-01-02,2021-06-23,-34.9068514,-56.1613243,3.0,2.0,2.0,80.0,240000.0,2021,1,1,1,1_1,13
MTbOvXBKJstmBu4/dmQuKQ==,2021-01-02,2021-02-06,-34.9029392,-56.1533722,3.0,2.0,1.0,58.0,168000.0,2021,1,1,1,1_1,13
h6BAFxcadkxeVBuwiuS5xw==,2021-01-02,9999-12-31,-34.9186427,-56.1510046,3.0,2.0,1.0,50.0,190000.0,2021,1,0,1,0_1,13
14N/F00tIqiOSPS+Q4IJSg==,2021-01-02,2021-04-26,-34.9123574,-56.1585821,4.0,2.0,1.0,54.0,185500.0,2021,1,1,1,1_1,13
