start_date,anio,mes,mes_cont,zona,rooms,bedrooms,bathrooms,surface_total,price,price_per_m2
2020-12-08,2020,12,12,1_1,3.0,2.0,2.0,65.0,160000.0,2461.5384615384614
2020-12-08,2020,12,12,1_0,2.0,1.0,1.0,68.0,130000.0,1911.764705882353
2020-12-08,2020,12,12,1_0,2.0,1.0,1.0,33.0,130000.0,3939.3939393939395
2020-12-08,2020,12,12,2_1,3.0,2.0,1.0,50.0,99000.0,1980.0
2020-12-08,2020,12,12,1_0,4.0,2.0,2.0,99.0,220000.0,2222.222222222222
2020-12-08,2020,12,12,1_0,4.0,3.0,2.0,68.0,140000.0,2058.823529411765
2021-01-30,2021,1,13,2_5,4.0,3.0,4.0,245.0,495000.0,2020.408163265306
2020-12-13,2020,12,12,1_2,3.0,3.0,1.0,61.0,118500.0,1942.622950819672
2020-08-22,2020,8,8,1_1,2.0,1.0,1.0,48.0,82000.0,1708.3333333333333
2020-08-22,2020,8,8,0_1,2.0,1.0,1.0,45.0,175000.0,3888.8888888888887
2020-08-22,2020,8,8,1_1,3.0,2.0,1.0,62.0,190000.0,3064.516129032258
2020-08-22,2020,8,8,0_1,4.0,3.0,2.0,81.0,350000.0,4320.9876543209875
2020-08-22,2020,8,8,0_1,3.0,3.0,4.0,68.0,410000.0,6029.411764705882
2020-12-07,2020,12,12,2_2,3.0,2.0,1.0,60.0,95000.0,1583.3333333333333
2020-12-07,2020,12,12,3_4,3.0,2.0,2.0,121.0,320000.0,2644.628099173554
2020-12-07,2020,12,12,1_1,3.0,2.0,1.0,53.0,143000.0,2698.1132075471696
2020-12-07,2020,12,12,1_1,3.0,2.0,1.0,46.0,110000.0,2391.304347826087
2020-12-07,2020,12,12,1_2,3.0,2.0,2.0,87.0,221000.0,2540.229885057471
2020-12-07,2020,12,12,1_1,3.0,2.0,2.0,104.0,258000.0,2480.769230769231
2020-12-07,2020,12,12,1_2,4.0,3.0,2.0,131.0,380000.0,2900.763358778626
2020-12-07,2020,12,12,0_1,5.0,3.0,2.0,129.0,368000.0,2852.7131782945735
2020-05-01,2020,5,5,3_5,3.0,2.0,2.0,68.0,480000.0,7058.823529411765
2020-05-01,2020,5,5,1_1,3.0,2.0,1.0,40.0,81000.0,2025.0
2020-05-01,2020,5,5,3_4,3.0,2.0,2.0,128.0,320000.0,2500.0
2020-05-01,2020,5,5,2_4,3.0,2.0,2.0,115.0,320000.0,2782.608695652174
2020-06-21,2020,6,6,0_1,3.0,2.0,2.0,108.0,470000.0,4351.851851851852
2020-11-28,2020,11,11,1_0,2.0,1.0,1.0,45.0,98000.0,2177.777777777778
2020-06-15,2020,6,6,2_1,3.0,2.0,1.0,56.0,137000.0,2446.4285714285716
2020-06-15,2020,6,6,1_1,3.0,4.0,3.0,209.0,370000.0,1770.3349282296651
2020-06-15,2020,6,6,1_1,3.0,3.0,4.0,68.0,400000.0,5882.35294117647
2020-06-15,2020,6,6,0_1,5.0,4.0,2.0,110.0,270000.0,2454.5454545454545
